MS_FB,MS_FB_PARE,WIKIDATA,name_en,name_et
country:ee/municipality:tallinn/electoral-district:1,country:ee/municipality:tallinn,Q53955932,Constituency no. 1 Haabersti district,Valimisringkond nr 1 Haabersti linnaosa
country:ee/municipality:tallinn/electoral-district:2,country:ee/municipality:tallinn,Q53955931,Constituency no. 2 Kesklinna district,Valimisringkond nr 2 Kesklinna linnaosa
country:ee/municipality:tallinn/electoral-district:3,country:ee/municipality:tallinn,Q53955928,Constituency no. 3 Kristiine district,Valimisringkond nr 3 Kristiine linnaosa
country:ee/municipality:tallinn/electoral-district:4,country:ee/municipality:tallinn,Q53955930,Constituency no. 4 Lasnamäe district,Valimisringkond nr 4 Lasnamäe linnaosa
country:ee/municipality:tallinn/electoral-district:5,country:ee/municipality:tallinn,Q53955934,Constituency no. 5 Mustamäe district,Valimisringkond nr 5 Mustamäe linnaosa
country:ee/municipality:tallinn/electoral-district:6,country:ee/municipality:tallinn,Q53955929,Constituency no. 6 Nõmme district,Valimisringkond nr 6 Nõmme linnaosa
country:ee/municipality:tallinn/electoral-district:7,country:ee/municipality:tallinn,Q53955927,Constituency no. 7 Pirita district,Valimisringkond nr 7 Pirita linnaosa
country:ee/municipality:tallinn/electoral-district:8,country:ee/municipality:tallinn,Q53955933,Constituency no. 8 Põhja-Tallinna district,Valimisringkond nr 8 Põhja-Tallinna linnaosa
