MS_FB,MS_FB_PARE,WIKIDATA,name_en,name_et
country:ee/electoral-district:2,country:ee,Q3025278,"Electoral District 2 (Kesklinn, Lasnamäe and Pirita)",Valimisringkond nr 2
country:ee/electoral-district:11,country:ee,Q3352911,"Electoral District 11 (Võru-, Valga- and Põlvamaa)",Valimisringkond nr 11
country:ee/electoral-district:12,country:ee,Q3038253,Electoral District 12 (Pärnumaa),Valimisringkond nr 12
country:ee/electoral-district:4,country:ee,Q3413626,Electoral District 4 (Harju- and Raplamaa),Valimisringkond nr 4
country:ee/electoral-district:9,country:ee,Q3338787,Electoral District 9 (Jõgeva- and Tartumaa),Valimisringkond nr 9
country:ee/electoral-district:1,country:ee,Q3402163,"Electoral District 1 (Haabersti, Põhja-Tallinn and Kristiine)",Valimisringkond nr 1
country:ee/electoral-district:8,country:ee,Q3142965,Electoral District 8 (Järva- and Viljandimaa),Valimisringkond nr 8
country:ee/electoral-district:6,country:ee,Q3485728,Electoral District 6 (Lääne-Virumaa),Valimisringkond nr 6
country:ee/electoral-district:10,country:ee,Q3032626,Electoral District 10 (Tartu),Valimisringkond nr 10
country:ee/electoral-district:5,country:ee,Q2972997,"Electoral District 5 (Hiiu-, Lääne- and Saaremaa)",Valimisringkond nr 5
country:ee/electoral-district:3,country:ee,Q2420663,Electoral District 3 (Mustamäe and Nõmme),Valimisringkond nr 3
country:ee/electoral-district:7,country:ee,Q3479058,Electoral District 7 (Ida-Virumaa),Valimisringkond nr 7
